region,Value
17Networks_LH_VisCent_ExStr_1,-4.22E+00
17Networks_LH_VisCent_ExStr_2,-4.94E-01
17Networks_LH_VisCent_Striate_1,-3.50E+00
17Networks_LH_VisCent_ExStr_3,-3.50E+00
17Networks_LH_VisCent_ExStr_4,-3.83E+00
17Networks_LH_VisCent_ExStr_5,-4.21E+00
17Networks_LH_VisPeri_ExStrInf_1,-3.77E+00
17Networks_LH_VisPeri_ExStrInf_2,-4.38E+00
17Networks_LH_VisPeri_ExStrInf_3,-3.29E+00
17Networks_LH_VisPeri_StriCal_1,-3.94E+00
17Networks_LH_VisPeri_ExStrSup_1,-4.32E+00
17Networks_LH_VisPeri_ExStrSup_2,-4.41E+00
17Networks_LH_SomMotA_1,-4.48E+00
17Networks_LH_SomMotA_2,-5.32E+00
17Networks_LH_SomMotA_3,-5.34E+00
17Networks_LH_SomMotA_4,-5.26E+00
17Networks_LH_SomMotA_5,-5.25E+00
17Networks_LH_SomMotA_6,-4.81E+00
17Networks_LH_SomMotA_7,-5.21E+00
17Networks_LH_SomMotA_8,-4.80E+00
17Networks_LH_SomMotB_Aud_1,-3.28E+00
17Networks_LH_SomMotB_Aud_2,-3.56E+00
17Networks_LH_SomMotB_S2_1,-4.35E+00
17Networks_LH_SomMotB_S2_2,-4.06E+00
17Networks_LH_SomMotB_Aud_3,-2.42E+00
17Networks_LH_SomMotB_S2_3,-4.56E+00
17Networks_LH_SomMotB_Cent_1,-4.80E+00
17Networks_LH_SomMotB_Cent_2,-4.01E+00
17Networks_LH_DorsAttnA_TempOcc_1,-1.25E+00
17Networks_LH_DorsAttnA_TempOcc_2,-3.64E+00
17Networks_LH_DorsAttnA_ParOcc_1,-3.73E+00
17Networks_LH_DorsAttnA_SPL_1,-6.12E-01
17Networks_LH_DorsAttnA_SPL_2,-2.32E+00
17Networks_LH_DorsAttnA_SPL_3,-3.91E+00
17Networks_LH_DorsAttnB_PostC_1,-3.61E+00
17Networks_LH_DorsAttnB_PostC_2,-4.19E+00
17Networks_LH_DorsAttnB_PostC_3,-4.91E+00
17Networks_LH_DorsAttnB_PostC_4,-4.33E+00
17Networks_LH_DorsAttnB_FEF_1,-1.80E+00
17Networks_LH_SalVentAttnA_ParOper_1,-2.87E+00
17Networks_LH_SalVentAttnA_Ins_1,-2.77E+00
17Networks_LH_SalVentAttnA_FrOper_1,-3.30E+00
17Networks_LH_SalVentAttnA_FrOper_2,-1.80E-02
17Networks_LH_SalVentAttnA_ParMed_1,-2.77E+00
17Networks_LH_SalVentAttnA_FrMed_1,-2.89E+00
17Networks_LH_SalVentAttnA_FrMed_2,-3.66E+00
17Networks_LH_SalVentAttnB_IPL_1,-4.71E-01
17Networks_LH_SalVentAttnB_PFCl_1,4.18E-01
17Networks_LH_SalVentAttnB_Ins_1,-5.37E-01
17Networks_LH_SalVentAttnB_PFCmp_1,3.23E-02
17Networks_LH_LimbicB_OFC_1,2.29E+00
17Networks_LH_LimbicB_OFC_2,4.75E+00
17Networks_LH_LimbicA_TempPole_1,1.40E+00
17Networks_LH_LimbicA_TempPole_2,2.21E+00
17Networks_LH_LimbicA_TempPole_3,2.50E+00
17Networks_LH_LimbicA_TempPole_4,-2.05E-01
17Networks_LH_ContA_Temp_1,-7.78E-01
